time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City,State
2025-01-01,11.2,8.0,15.5,0.0,,273.0,3.9,,1019.3,,Delhi,DL
2025-01-02,11.7,8.6,17.0,0.0,,268.0,4.2,,1018.4,,Delhi,DL
2025-01-03,12.7,8.6,20.0,0.0,,269.0,1.1,,1018.1,,Delhi,DL
2025-01-04,13.0,8.8,19.2,0.0,,98.0,1.7,,1016.3,,Delhi,DL
2025-01-05,13.0,10.0,17.6,0.0,,106.0,3.8,,1016.2,,Delhi,DL
2025-01-06,13.1,10.0,16.4,19.0,,309.0,3.7,,1017.1,,Delhi,DL
2025-01-07,11.8,9.0,16.9,0.0,,280.0,6.1,,1017.9,,Delhi,DL
2025-01-08,12.7,8.4,20.8,0.0,,274.0,5.0,,1016.0,,Delhi,DL
2025-01-09,12.0,6.4,20.0,0.0,,39.0,1.2,,1018.5,,Delhi,DL
2025-01-10,11.9,7.6,17.9,0.0,,125.0,2.2,,1020.3,,Delhi,DL
2025-01-11,12.3,9.0,16.6,6.4,,77.0,3.6,,1018.7,,Delhi,DL
2025-01-12,12.8,9.8,16.6,0.5,,345.0,2.1,,1019.2,,Delhi,DL
2025-01-13,13.2,10.2,18.0,0.0,,267.0,6.2,,1018.9,,Delhi,DL
2025-01-14,13.2,9.5,20.2,0.0,,267.0,4.3,,1019.0,,Delhi,DL
2025-01-15,12.3,7.0,16.9,6.1,,0.0,1.7,,1020.4,,Delhi,DL
2025-01-16,13.2,10.6,18.6,4.1,,25.0,2.1,,1020.9,,Delhi,DL
2025-01-17,12.9,8.8,19.6,0.0,,283.0,4.3,,1020.8,,Delhi,DL
2025-01-18,13.4,9.8,19.8,0.0,,285.0,2.7,,1019.5,,Delhi,DL
2025-01-19,15.8,10.2,25.4,0.0,,301.0,1.5,,1017.0,,Delhi,DL
2025-01-20,16.7,12.3,24.0,0.0,,281.0,5.2,,1015.2,,Delhi,DL
2025-01-21,16.4,11.8,23.4,0.0,,271.0,5.5,,1014.1,,Delhi,DL
2025-01-22,16.4,10.4,24.8,0.0,,276.0,2.5,,1013.7,,Delhi,DL
2025-01-23,16.8,11.0,25.6,0.5,,290.0,3.4,,1015.0,,Delhi,DL
2025-01-24,15.8,9.8,24.8,0.0,,268.0,7.5,,1015.6,,Delhi,DL
2025-01-25,15.0,10.1,22.4,0.0,,266.0,7.4,,1015.0,,Delhi,DL
2025-01-26,14.2,8.4,22.1,0.0,,257.0,5.2,,1014.9,,Delhi,DL
2025-01-27,13.6,7.0,21.9,0.0,,252.0,3.8,,1013.7,,Delhi,DL
2025-01-28,14.0,7.4,22.5,0.0,,226.0,3.4,,1013.2,,Delhi,DL
2025-01-29,15.1,8.3,24.0,0.0,,116.0,3.3,,1014.5,,Delhi,DL
